字段,统一编码或取值,说明
性别,1=男；2=女；3=其他/不愿说明,所有来源统一到 1/2/3；S001 原始 0 女、1 男已重映射。
年龄或年龄组,1=18-24；2=25-34；3=35-44；4=45及以上；9=未提供/不可判定,出生年按 2026 年换算年龄后分组；原始年龄直接分组。
教育背景或学生身份,1=高中及以下；2=专科/大专；3=本科；4=研究生及以上；5=学生未细分；9=其他/未提供,S001 只有学生身份，统一记为 5。
收入或线上消费预算,1=低；2=中低；3=中等；4=中高；5=高；6=很高；9=未提供/不可判定,不同国家货币不强行换算，只保留各来源由低到高的收入层级；S007 按数值分段到 1-6。
平台或消费场景,1=E-paylater/先买后付；2=TikTok/TikTok Shop；3=Facebook；4=Shopee/Shopee Live；5=Instagram；6=Zalo；7=Twitter；8=YouTube；9=其他,平台文本和来源平台编码统一到同一套平台码。
样本群体,1=大学/学院学生；2=先买后付用户与非用户；3=社交商务消费者；4=社交媒体消费者,用于区分不同来源样本类型。
冲动购买标准分,0-100,1-5 量表按 (原值-1)/4*100；二元冲动购买按 0/1 转 0/100。
社交同伴影响标准分,0-100,1-5 量表按 (原值-1)/4*100；1-10 量表按 (原值-1)/9*100。
促销折扣或价值刺激标准分,0-100,1-5 或 1-10 量表统一转为 0-100。
情绪即时满足标准分,0-100,情绪触发、享乐动机、即时满足、FOMO 等相关题项统一转为 0-100。
购买频率或行为标准分,0-100,1-5 或 1-4 频率/意向题项统一转 0-100；0-14 次频率按 原值/14*100。
核验状态,已核验并统一编码,表示本版完成空值核对和统一编码规则处理。
