age,gender,education_level,monthly_income,time_spent_on_social_media,platform_most_used,follow_influencers,ad_frequency,social_media_ads_clicks,perceived_discount,emotional_trigger_score,peer_influence_score,online_purchase_frequency,impulse_purchase
56,Female,High School,16651,3.8,Instagram,1,8,4,3,6,7,0,0
46,Male,Postgraduate,33578,2.4,Twitter,1,12,6,9,10,10,1,1
32,Female,High School,62511,1.1,Instagram,1,6,4,5,1,10,11,0
25,Female,High School,52753,1.3,YouTube,1,9,6,7,6,8,14,1
38,Male,High School,34770,1.7,Instagram,0,9,3,6,4,9,3,0
56,Other,High School,34761,1.9,YouTube,0,11,7,10,3,4,11,0
36,Female,High School,35175,5.2,YouTube,0,12,4,5,2,5,8,0
40,Female,Graduate,71151,3.6,YouTube,0,11,5,7,7,5,2,0
28,Male,Graduate,45729,3.4,Twitter,1,14,2,6,9,8,13,1
28,Female,Postgraduate,46450,1.1,Instagram,1,9,8,10,3,9,5,1
41,Male,Postgraduate,55454,5.2,Instagram,0,11,9,2,6,7,6,1
53,Male,Graduate,43581,4.5,Twitter,1,9,3,3,9,5,7,0
57,Other,High School,36114,0.9,Facebook,1,14,4,2,2,3,12,0
41,Male,Graduate,37054,4.4,TikTok,0,16,4,3,7,1,6,0
20,Male,Graduate,38925,3.5,Instagram,0,9,4,1,5,9,2,0
39,Other,High School,39441,0.9,TikTok,1,11,9,8,5,5,5,1
19,Other,Graduate,50914,3.0,Twitter,1,4,5,6,7,9,4,0
41,Female,Graduate,40779,3.2,Facebook,0,12,6,2,9,10,14,1
47,Female,Graduate,50989,1.4,Facebook,0,9,7,8,4,4,12,0
55,Male,Graduate,38789,5.7,Facebook,1,4,11,6,9,5,11,1
19,Male,High School,41179,5.2,Twitter,0,9,10,7,10,4,9,1
38,Male,Postgraduate,10026,4.2,YouTube,1,14,7,1,9,2,3,1
50,Female,Graduate,53744,3.0,YouTube,1,5,4,7,4,1,0,0
29,Female,High School,45197,2.8,TikTok,0,12,5,3,3,8,13,0
39,Female,Postgraduate,54970,4.1,YouTube,1,11,4,8,2,4,12,0
42,Female,Graduate,-3443,3.5,YouTube,1,12,5,6,9,5,6,1
44,Male,Postgraduate,71325,0.8,Facebook,0,12,6,4,2,6,7,0
59,Female,Graduate,37906,3.3,Facebook,1,6,6,8,6,8,1,0
45,Male,Graduate,56622,4.9,TikTok,1,7,0,9,5,8,6,0
