变量名,字段含义,单位,数据类型,来源优先级,是否必填,清洗规则,可接受缺失条件,备注
记录编号,统一记录编号,无,文本,论文配套公开数据,是,按来源数据集编号加原始行号生成,不可缺失,用于合并多来源数据后去重
来源数据集编号,来源数据集编号,无,文本,论文配套公开数据,是,统一为 S001 至 S007,不可缺失,用于追踪不同公开数据集
来源数据集标题,来源数据集标题,无,文本,论文配套公开数据,是,保留英文标题并在说明中翻译,不可缺失,满足来源追踪
核心数据来源原始链接,核心数据来源原始链接,URL,文本,论文配套公开数据,是,保留 Mendeley Data 原始页面链接,不可缺失,满足题目来源链接要求
DOI（数字对象唯一标识符）,DOI（数字对象唯一标识符）,无,文本,论文配套公开数据,否,保留原始 DOI，缺失则标记,允许部分来源缺失,辅助引用和复核
来源质量等级,来源质量等级,无,分类,论文配套公开数据,是,统一填论文配套公开数据,不可缺失,按工作区质量分级归入论文/研究数据
受访者编号,原始受访者编号或行号,无,文本,论文配套公开数据,是,优先保留原始 ID，无 ID 则使用原始行号,不可缺失,避免不同来源编号冲突
平台或消费场景,平台或消费场景,无,分类,论文配套公开数据,是,统一为 TikTok Shop、E-paylater、Social commerce、Instagram 等,不可缺失,用于区分线上消费场景
样本群体,样本群体说明,无,文本,论文配套公开数据,否,保留学生、消费者、用户等样本身份,允许缺失但需说明,学生样本优先标记
性别,性别,无,分类,论文配套公开数据,否,统一编码为 male、female、other、unknown,允许缺失,人口统计控制变量
年龄或年龄组,年龄或年龄组,岁或分类,文本,论文配套公开数据,否,保留原始年龄或年龄组，必要时另建映射说明,允许缺失,人口统计控制变量
教育背景或学生身份,教育背景或学生身份,无,文本,论文配套公开数据,否,保留教育水平或是否学生相关字段,允许缺失,用于贴合大学生线上消费主题
收入或线上消费预算,收入或线上消费预算,原始单位或分类,文本,论文配套公开数据,否,保留原始分类，避免跨国家货币强行换算,允许缺失,消费能力控制变量
冲动购买综合得分,冲动购买综合得分,量表得分,数值,论文配套公开数据,是,按各来源冲动购买题项求均值或保留原始标签，需记录映射,不可缺失,非理性消费核心变量
社交影响综合得分,社交影响综合得分,量表得分,数值,论文配套公开数据,否,按 social influence、social interaction 等题项求均值,允许缺失,攀比和从众消费代理变量
同伴朋友影响得分,同伴/朋友影响得分,量表得分,数值,论文配套公开数据,否,优先映射 friend、peer、people influence 相关题项,允许缺失,攀比消费代理变量
FOMO或即时满足得分,FOMO（错失恐惧）或即时满足得分,量表得分,数值,论文配套公开数据,否,按 FOMO、immediate gratification、hedonic motivation 等题项映射,允许缺失,非理性消费心理驱动变量
地位焦虑或攀比消费得分,地位焦虑或炫耀性/攀比性消费得分,量表得分,数值,论文配套公开数据,否,优先使用 conspicuous consumption、status anxiety、prestige 等题项,允许缺失,攀比消费核心代理变量
促销或支付刺激得分,促销或支付刺激得分,量表得分,数值,论文配套公开数据,否,映射 discount、voucher、paylater、promotion 等题项,允许缺失,刺激型消费变量
情绪触发得分,情绪触发得分,量表得分,数值,论文配套公开数据,否,映射 positive emotional appeal、emotional trigger 等题项,允许缺失,冲动消费心理变量
购买行为或购买频率,购买行为或购买频率,无,文本或数值,论文配套公开数据,否,保留原始购买频率、购买行为或二分类标签,允许缺失,结果变量
原始字段映射说明,原始字段映射说明,无,文本,论文配套公开数据,是,记录每个综合变量对应的原始字段名,不可缺失,保证多来源合并可追踪
采集时间,采集时间,时间,文本,论文配套公开数据,是,按本地时间记录下载或整理时间,不可缺失,用于版本追踪
核验状态,核验状态,无,分类,论文配套公开数据,是,初始填已试采集待字段审核，正式交付前改为已核验,不可缺失,用于验收
