user_id,user_activity_level,session_count,avg_session_duration,buyer_region_code,product_id,category_code,price,discount_rate,product_rating,review_count,dwell_time,click_count,scroll_depth,add_to_cart,wishlist_flag,interaction_frequency,recency_score,seasonal_index,quantity_sold
1860,3,42,887.6183771395948,1,505,3,414.2,0.43,2.9,627,608,16,0.11,1,1,20,0.85,1.23,36
4772,3,34,718.4173344721147,1,1312,4,930.29,0.05,3.4,376,419,18,0.37,1,1,35,0.64,0.74,5
4092,5,9,553.2041414990501,1,827,6,346.81,0.06,4.3,3886,821,19,0.94,0,1,99,0.07,1.24,13
1466,3,22,325.1216596008519,1,888,6,963.67,0.08,2.5,89,938,23,0.38,0,0,84,0.51,0.84,39
5426,2,13,503.79804037835197,1,1237,7,910.72,0.54,3.2,2855,1146,3,0.42,0,0,2,0.78,0.75,38
4444,9,25,65.72931032765271,1,1480,5,632.37,0.32,4.1,1065,1197,3,0.53,1,0,58,0.7,1.09,17
4171,2,48,677.9978157110244,1,1432,7,581.92,0.47,3.0,1058,13,5,0.61,0,1,18,0.97,1.29,6
3919,2,18,417.98132423012856,1,480,2,373.24,0.07,3.3,3059,32,3,0.83,1,0,94,0.02,0.73,19
1130,8,12,47.42020986700323,1,642,1,23.25,0.56,3.7,4072,930,19,0.27,0,0,56,0.26,0.96,25
2685,9,40,84.3810391140574,1,1036,4,131.99,0.49,3.6,2600,754,5,0.88,1,0,64,0.55,1.02,3
1769,7,17,367.0958235249283,1,588,2,755.46,0.13,2.8,4219,611,14,0.78,0,1,93,0.62,0.85,28
3391,3,15,537.5767215460385,1,816,1,474.18,0.52,4.8,2104,997,21,0.75,0,1,52,0.27,1.29,26
3433,9,42,433.8574355883502,1,346,4,154.09,0.16,2.6,2853,1125,16,0.18,1,1,22,0.83,1.08,8
2184,3,15,568.7077560441747,1,720,2,267.64,0.12,4.4,2655,478,1,0.12,0,1,93,0.16,1.21,15
5555,5,15,447.85600514847954,1,829,3,948.1,0.16,2.7,1515,979,17,0.63,1,1,60,0.0,0.95,1
