变量名,字段含义,单位,数据类型,来源优先级,是否必填,清洗规则,可接受缺失条件,备注
来源编号,数据来源标识(S001=Kaggle跨境电商行为数据; S002=figshare中国消费者问卷数据),- ,文本,官方,是,直接使用来源编号,不可缺失,对应source_id
来源链接,原始数据下载页面URL,- ,文本,官方,是,直接记录URL,不可缺失,对应source_url
记录编号,每条记录在原始数据集中的唯一标识,- ,整数,官方,是,保留原始ID,不可缺失,对应respondent_id
性别,受访者性别(1=男 2=女),- ,整数,官方,否(S001缺失),从原始数据映射,S002有此字段S001无,对应gender
年龄组,受访者年龄段编码(1=18-25 2=26-35 3=36-45 4=46+),- ,整数,官方,否(S001缺失),从原始数据映射,S002有此字段S001无,对应age_group
教育程度,受访者学历编码(1=高中及以下 2=大专 3=本科 4=硕士及以上),- ,整数,官方,否(S001缺失),从原始数据映射,S002有此字段S001无,对应education_level
职业类型,受访者职业分类(1=学生 2=企业职员 3=自由职业 4=其他),- ,整数,官方,否(S001缺失),从原始数据映射,S002有此字段S001无,对应occupation
地区,消费者所在地区,- ,文本,官方,是,统一标注为中国,不可缺失,对应region
平台类型,消费平台类型(1=跨境电商平台),- ,整数,官方,是,根据数据来源推断,不可缺失,对应platform
购买频率得分,消费者购买频率标准化得分(0-100),分,浮点数,官方,是,S001从session_count标准化;S002从问卷得分计算,不可缺失,对应purchase_frequency_score
价格敏感度得分,对价格变动的敏感程度标准化得分(0-100),分,浮点数,官方,是,S001从price和discount_rate计算;S002从对应问卷项计算,不可缺失,对应price_sensitivity_score
折扣驱动得分,折扣促销对购买决策的影响程度(0-100),分,浮点数,官方,是,S001从discount_rate映射;S002从促销影响问卷项计算,不可缺失,对应discount_drive_score
社交影响得分,社交媒体/他人评价对购买决策的影响(0-100),分,浮点数,官方,是,S001从review_count/product_rating推断;S002从社交影响问卷项计算,不可缺失,对应social_influence_score
消费参与度得分,浏览深度和交互频率标准化得分(0-100),分,浮点数,官方,是,S001从dwell_time/click_count/scroll_depth计算;S002从购买频率和品类广度计算,不可缺失,对应engagement_score
非理性消费倾向得分,冲动/非计划购买倾向综合得分(0-100),分,浮点数,官方,是,S001从add_to_cart/wishlist/discount_rate综合计算;S002从相关问卷项计算,不可缺失,关键指标_对应irrational_consumption_score
攀比消费倾向得分,炫耀性/地位性消费倾向综合得分(0-100),分,浮点数,官方,是,S001从price/product_rating推断;S002从品牌意识和社会评价影响问卷项计算,不可缺失,关键指标_对应conspicuous_consumption_score
数据类型,数据采集方式(行为数据/问卷数据),- ,文本,官方,是,记录数据来源类型,不可缺失,对应data_type
采集时间,数据原始发布时间,- ,日期,官方,是,记录原始数据发布时间,不可缺失,对应collection_time
质量等级,数据来源质量等级(按官方>论文>第三方排序),- ,文本,官方,是,标注来源质量,不可缺失,对应quality_level
