记录编号,性别,社会比较倾向,相对剥夺感,经济不满意度,地位提升期望,当前社会阶层_1到10,逛街购物频率,上网频率
3,2,30,53.333333,20,0.0,6,1,5
6,2,30,40.0,20,0.0,5,2,1
15,2,30,60.0,20,22.222222,6,3,1
16,1,30,60.0,60,22.222222,3,4,2
20,2,30,40.0,60,22.222222,3,3,1
22,2,20,46.666667,60,0.0,10,3,5
28,1,50,66.666667,80,0.0,1,5,5
40,1,20,20.0,20,33.333333,5,4,1
58,1,30,60.0,40,11.111111,7,4,1
63,1,30,40.0,20,11.111111,5,5,5
68,2,60,93.333333,20,0.0,1,4,1
78,2,30,60.0,20,22.222222,5,3,3
80,2,60,73.333333,60,0.0,1,3,1
85,1,40,53.333333,60,0.0,3,5,1
87,2,30,40.0,20,22.222222,5,4,1
90,2,60,60.0,100,0.0,2,4,2
95,2,70,93.333333,40,0.0,5,2,1
96,2,30,46.666667,20,11.111111,6,2,1
114,2,20,20.0,20,11.111111,3,2,1
124,1,40,53.333333,80,0.0,3,5,2
127,2,40,80.0,40,0.0,5,3,4
133,2,60,80.0,80,0.0,1,3,1
135,2,30,60.0,20,55.555556,1,2,1
139,1,40,33.333333,20,0.0,5,3,4
145,2,30,33.333333,20,22.222222,6,2,1
148,1,40,33.333333,40,0.0,7,3,1
149,2,50,86.666667,20,0.0,5,3,1
151,2,30,53.333333,20,22.222222,6,4,2
153,1,20,33.333333,40,66.666667,4,3,1
154,2,40,60.0,20,0.0,5,2,1
160,2,20,46.666667,20,0.0,5,1,1
167,2,60,40.0,80,0.0,2,4,2
169,1,30,60.0,20,22.222222,3,3,1
173,2,60,93.333333,60,11.111111,1,5,1
178,2,60,73.333333,20,0.0,10,5,1
189,1,60,60.0,60,0.0,3,4,3
192,1,40,46.666667,40,22.222222,6,3,5
193,1,80,80.0,40,22.222222,5,5,2
197,1,20,20.0,20,11.111111,5,5,1
198,2,30,53.333333,20,11.111111,4,3,1
204,1,60,66.666667,80,11.111111,5,3,1
206,2,30,26.666667,60,22.222222,5,4,1
209,2,40,53.333333,60,0.0,4,2,5
210,1,30,33.333333,20,11.111111,4,3,1
215,2,40,53.333333,20,0.0,5,1,5
220,1,90,60.0,20,33.333333,3,4,1
222,1,50,66.666667,20,11.111111,3,1,1
228,1,60,60.0,60,11.111111,5,2,3
229,1,60,73.333333,20,55.555556,3,4,1
230,2,40,73.333333,60,0.0,3,3,1
252,2,60,66.666667,20,0.0,6,2,1
256,1,30,26.666667,20,0.0,6,3,1
257,2,30,46.666667,20,11.111111,7,3,1
258,2,50,46.666667,80,11.111111,4,3,1
260,2,30,46.666667,80,11.111111,3,4,1
261,2,40,60.0,20,22.222222,5,4,1
268,1,70,80.0,60,11.111111,3,3,3
274,1,60,66.666667,20,33.333333,2,3,1
280,2,30,40.0,40,33.333333,3,3,1
286,1,40,66.666667,20,11.111111,5,4,1
293,2,40,53.333333,40,0.0,3,4,1
306,2,30,40.0,20,0.0,6,4,3
316,1,20,26.666667,20,22.222222,6,4,1
317,1,30,40.0,20,0.0,5,3,1
328,1,30,66.666667,20,11.111111,2,2,1
335,2,50,73.333333,100,66.666667,2,3,1
337,2,40,40.0,80,0.0,5,2,2
342,2,30,53.333333,20,22.222222,6,2,1
350,2,20,46.666667,20,33.333333,4,4,1
352,1,20,60.0,20,0.0,1,4,5
361,1,30,60.0,20,0.0,1,5,5
366,2,30,40.0,20,11.111111,7,3,1
373,1,30,53.333333,80,11.111111,6,3,1
